name,country,institution,links,expertise
Abolfazl Asudeh,united states,university of illinois at chicago,"Ali Jaoua,Ali Movaghar,Anastasios Sidiropoulos,Azade Nazi,Bhaskar DasGupta,Bill Howe,Chengkai Li,Chenkai Sun,Cong Yu,Divesh Srivastava,Faezeh Ghaderi,Fatemeh Nargesian,Gautam Das,Gensheng Zhang,Gergely V. Záruba,Gerome Miklau,H. V. Jagadish,Hadis Anahideh,Hantian Zhang,Jees Augustine,Julia Stoyanovich,Kaushal Mamgain,Ke Yang,Matteo Corain,Md Farhadur Rahman,Mengjing Xu,Naeemul Hassan,Nan Zhang,Nazanin Nezami,Nick Koudas,Nima Shahbazi,Ning Yan,Paolo Garza,Pranav Mayuram,Sadia Ahmed,Sajal K. Das,Saravanan Thirumuruganathan,Shamkant B. Navathe,Shohedul Hasan,Sona Hasani,Suraj Shetiya,Tanya Y. Berger-Wolf,Xu Chu,Yeshwanth D. Gunasekaran,Yeshwanth Durairaj Gunasekaran,Yifan Guan,Yin Lin,Yoko Nagafuchi,You Wu,Zhongjun Jin",2
Alfons Kemper,germany,technical university of munich,"Adrian Vogelsgesang,Alex Kulikov,Alexander Beischl,Alexander Kreutz,Alexander Pretschner,Alexander S. Szalay,Alexander van Renen,Alois C. Knoll,Andreas Gärtner,Andreas Kipf,Andreas Scholz,Andreas Wolke,Andreas Zachmann,Andrew Pavlo,Andrey Gubichev,André Eickler,Angelika Reiser,Anisoara Nica,Anne Faber,Anton Schmitt,Armando Miraglia,Armin Fischer,Atanas Mirchev,Athena Vakali,Axel Herbst,Balaji Narasimhan,Barbara Catania,Benedikt Kleiner,Benjamin Gufler,Bernhard Bauer,Bernhard Radke,Bernhard Stegmaier,Bernhard Zeller,Boris Novikov,Carsten Andreas Gerlhof,Charu C. Aggarwal,Christian Buckl,Christian Böhm,Christian Prehofer,Christian Wiesner,Christian Winter,Christof König,Christoph Anneser,Christoph Brochhaus,Christoph Kilger,Christoph Quix,Claudia Eckert,Daniel Gmach,Daniel Weber,Daniela Eberhardt,Dean Jacobs,Dimitri Vorona,Djoerd Hiemstra,Dominik Huth,Donald Kossmann,Ehud Gudes,Eleni Tzirita Zacharatou,Eljas Soisalon-Soininen,Ellis Horowitz,Eric Simon,Fabian Prasser,Fernando Chirigati,Florian Funke,Florian Kohlmayer,Florian Matthes,Florian Scheibner,Florian Waas,Franz Faerber,Franz Färber,Franz Häuslschmid,Fritz Busch,Frédéric Simonis,Georg Walch,Gerald Franz,Gerard Lemson,Gerd Kainz,Giovanna Guerrini,Gregor Lamla,Guido Moerkotte,Guillaume Belrose,Hadhami Dhraief,Hans-Dirk Walter,Hans-Martin Adorf,Harald Lang,Harald Schöning,Harish Doraiswamy,Harry Enke,Harumi A. Kuno,Heike Stehle,Helmut Krcmar,Henrik Mühe,Holger Pirk,Huy T. Vo,Ibrahim Sabek,Ingo Brunkhorst,Ioana Manolescu,Ippokratis Pandis,Irina Gaponova,Jakob Huber,Jan Böttcher,Jan Finis,Jan P. Finis,Jan Rittinger,Jana Giceva,Janet L. Wiener,Jaroslav Pokorný,Jens Claußen,Jens Teubner,Jerry Rolia,Jessica Müller,Jessica Smejkal,Jialin Ding,Joachim Chriesten,Joachim W. Schmidt,Jochen Doppelhammer,Jonas Müller,Josef Schmeißer,Justin J. Levandoski,Jörg Heuer,Jörg Ott,Jürgen Primsch,Kai-Uwe Sattler,Kan Kundhikanjana,Kazuichi Oe,Kenneth A. Ross,Kevin Wilkinson,Kien Pham,Klaus A. Kuhn,Klaus Kuhn,Klaus Küspert,Klaus Peithner,Klemens Böhm,Konrad Stocker,Kristian Beckers,Krzysztof Kaczmarski,Ladjel Bellatreche,Laurent Amsaleg,Leo Giakoumakis,Lilian Harada,Linnea Passing,Lisandro Zambenedetti Granville,Lucas Braun,Luciano Paschoal Gaspary,Ludmila Cherkasova,Lukas Karnowski,Lukas Rupprecht,Lukas Vogel,Maarten Rits,Magdalena Pröbstl,Manuel Prieto,Manuel Then,Marc H. Scholl,Markus Böhm,Markus Islinger,Markus Keidl,Martin Bichler,Martin Dürr,Martin Grund,Martin Huck,Martin L. Kersten,Martin Raiber,Martin Wimmer,Martin Winter,Martina-Cezara Albutiu,Matteo Golfarelli,Matthias Bungeroth,Matthias Jarke,Matthias Mohr,Maximilian Bandle,Maximilian E. Schüle,Maximilian Springer,Mechtild Wallrath,Mei Hsu,Meichun Hsu,Meikel Poess,Michael Hatzopoulos,Michael Haubenschild,Michael Haus,Michael J. Freitag,Michael Schreier,Michael Seibold,Michael Steinbrunn,Mihail Stoian,Mihalis Yannakakis,Mirko Kämpf,Mitsuru Sato,Mokrane Bouzeghoub,Moritz Kaufmann,Moritz Sichert,Natalija Krivokapic,Nihan Celikkaya,Nikolaus Augsten,Nina C. Hubig,Norbert Südkamp,Norman May,Noureddine Mouaddib,Pascal Schliski,Patrick Valduriez,Per-Åke Larson,Peter A. Boncz,Peter C. Lockemann,Peter Dadam,Peter Pistor,Peter Winklhofer,Philipp Fent,Philipp Unterbrunner,Pia Ehrnlechner,R. Erbe,Raghunath Othayoth Nambiar,Raphael Geissler,Raul Alexandru Persa,Reinhard Braumandl,Richard Kuntschke,Richard L. Cole,Robert Brunel,Robert Seilbeck,Roland Holzhauser,Ryan Johnson,Ryan Marcus,Rüdiger Dillmann,S. Sudarshan,Sam Idicula,Sanchit Misra,Sasan Amini,Satoshi Imamura,Sebastian H. R. Wurst,Sebastian Hagen,Sebastian Huber,Silvia Chiusano,Stefan Aulbach,Stefan Brandl,Stefan Krompass,Stefan M. Lang,Stefan Manegold,Stefan Pröls,Stefan Seltzsam,Stefano Rizzi,Stephan Börzsönyi,Stephan Günnemann,Stephan Sommer,Stephan Wolf,Sunita Sarawagi,Takushi Hashida,Tania Cerquitelli,Themis Palpanas,Theo Härder,Thomas Blum,Thomas Heyenbrock,Thomas Hutzelmann,Thomas Höppler,Thomas Kipf,Thomas Kothmayr,Thomas Neumann,Thomas Rose,Thomas Seidl,Thomas Setzer,Tim Kraska,Timo Kersten,Timos K. Sellis,Timos Sellis,Tobias Götz,Tobias Lauer,Tobias Mühlbauer,Tobias Rosenberger,Tobias Schmidt,Tobias Scholl,Tom Turicchi,Torsten Grust,Tuan-Anh Hoang-Vu,Ulf Leser,Umeshwar Dayal,Valentin Nicolescu,Varun Pandey,Veneta Dobreva,Viktor Leis,Vittorio Cozzolino,Volker Linnemann,Volker Markl,Volkmar Lotz,Weverton Luis da Costa Cordeiro,Wey Guy,Witold Andrzejewski,Wolf Rödiger,Wolfgang Lehner,Wolfgang Nejdl,Wolfgang Voges,Wolfgang Wörndl,Yamine Aït Ameur,Yannis E. Ioannidis,Yoshiyasu Doi,Ömer Uludag",1
Alon Y. Halevy,united states,facebook,"Aaron Feng,Abraham Silberschatz,Ada Wai-Chee Fu,Adi Zief-Balteriski,Aditya G. Parameswaran,Afshin Rostamizadeh,Akari Asai,Akshay Kannan,Alberto Lerner,Alberto O. Mendelzon,Alex Rasmussen,Alexander S. Szalay,Alin Deutsch,Alon Y. Levy,Alvin Cheung,AnHai Doan,Anand Rajaraman,Anastasia Ailamaki,Anastassia Ailamaki,Andrei Lopatenko,Andrew Fikes,Andrew Pavlo,Anish Das Sarma,Anita Raja,Anno Langen,Arnon Rosenthal,Artur S. d'Avila Garcez,Arun Kumar,Ashish Kumar Gupta,Ashish Sabharwal,Ashwin Ram,Avi Pfeffer,Avi Silberschatz,Avigdor Gal,Barbara Catania,Behzad Golshan,Belinda Z. Li,Beng Chin Ooi,Bhaskara Marthi,Boulos Harb,Brenton Louie,Bryan Chan,C. Lee Giles,C. Mic Bowman,C. Mohan,Catriel Beeri,Charles L. Isbell Jr.,Chen Chen,Chris Wolf,Christian S. Jensen,Christopher Olston,Christopher Ré,Christopher W. Geib,Christos Faloutsos,Chung Wu,Cong Yu,Corin R. Anderson,Craig A. Knoblock,Cristian Canton-Ferrer,Daisy Zhe Wang,Dan Iter,Dan Suciu,Dana Movshovitz-Attias,Daniel Abadi,Daniel J. Abadi,Daniel S. Weld,Daniela Florescu,Daniela Stepanov,Daphne Koller,Darsana P. Josyula,David G. Andersen,David J. DeWitt,David Ko,David Maier,David W. Aha,Deepak Verma,Denise Draper,Dieter Gawlick,Dina Bitton,Divesh Srivastava,Donald Kossmann,Doug Burdick,Edward A. Fox,Edward Y. Chang,Ekaterina Pavlovic,Eldar Sadikov,Elena Ferrari,Ema Nemes,Enrico Franconi,Erhard Rahm,Eric A. Brewer,Eric Simon,Eugene Wu,Ewa Jaslikowska,Fabrizio Silvestri,Fatma Ozcan,Fausto Rabitti,Fei Wu,Fernando Martín-Sánchez,Fernando Pereira,Flip Korn,Francesco M. Donini,Gengxin Miao,George A. Mihaila,Gerhard Weikum,Gerome Miklau,Gita Sukthankar,Gregory M. Provan,Gustavo Alonso,H. V. Jagadish,Hans-Jörg Schek,Hao Ma,Hazem Elmeleegy,Hector Garcia-Molina,Hector Gonzalez,Heidi Lam,Henry F. Korth,Henry M. Levy,Hidekazu Oiwa,Hongrae Lee,Huining Liu,Ian Horrocks,Igor Tatarinov,Immanuel Trummer,Inderpal Singh Mumick,Ioana Manolescu,Jacob Andreas,Jaewoo Kang,James Thorne,Jan-Georg Smaus,Jane A. Yu,Jayant Madhavan,Jeff Klingner,Jeff Pollock,Jeffrey D. Ullman,Jeffrey Dean,Jeffrey F. Naughton,Jennifer Widom,Jessica Johnson,Jiawei Han,Jignesh M. Patel,Jim Gray,Jinfeng Li,Jing Liu,Jing Michelle Liu,Jing Su,Jiyu Komiya,Joann J. Ordille,Johannes Gehrke,John Morales,Jonathan Goldberg-Kidon,Joseph M. Hellerstein,Juliana Freire,Jun Zhang,Jure Leskovec,Justin Talbot,Karen Jacqmin-Adams,Karl Tuyls,Kathryn Brisbin,Keith McGreggor,Kenneth A. Ross,Kenneth P. Smith,Kenneth Wilder,Khaled Yagoub,Kokil Jaidka,Kristian Kersting,Kuang Chen,Laura M. Haas,Le Gruenwald,Len Seligman,Leslie Pack Kaelbling,Lilyana Mihalkova,Loredana Afanasiev,Lu Wang,Lucja Kot,Lujun Fang,Luke K. McDowell,Luke Zettlemoyer,Luna Dong,Luís C. Lamb,Lyle Ungar,Lyublena Antova,Madian Khabsa,Magdalena Balazinska,Maithilee Kunda,Majid Yazdani,Marc T. Friedman,Marco Brambilla,Maria Zemankova,Marie-Christine Rousset,Marius Pasca,Mark O. Riedl,Mark S. Boddy,Marti A. Hearst,Martin L. Kersten,Martin Theobald,Mary F. Fernandez,Mary F. Fernández,Marzieh Saeidi,Matthew Killingsworth,Maya Rodrig,Michael J. Cafarella,Michael J. Carey,Michael J. Franklin,Michael J. Pazzani,Michael Lesk,Michael R. Genesereth,Michael Rabinovich,Michael Stonebraker,Mike Cammarano,Mohamed Yahya,Natalie Nuno,Natalya Fridman Noy,Naveen Ashish,Neoklis Polyzotis,Nesime Tatbul,Nikita Bhutani,Nilesh N. Dalvi,Nitin Gupta,Niyati Chhaya,Nodira Khoussainova,Oana Ignat,Oded Shmueli,Oliver M. Duschka,Omar Benjelloun,Oren Etzioni,P. Pandurang Nayak,Pascal Hitzler,Pat Hanrahan,Patrick E. O'Neil,Patrick Pantel,Paul Bennett,Pedro M. Domingos,Peter A. Boncz,Peter Bailis,Peter Buneman,Peter Mork,Peter Norvig,Peter Tarczy-Hornoch,Petros Venetis,Philip A. Bernstein,Piotr J. Gmytrasiewicz,Pradeep Shenoy,Prashant Doshi,Qiong Chen,Rachel Pottinger,Rada Chirkova,Raghu Ramakrishnan,Rahul Gupta,Rakesh Agrawal,Raluca A. Popa,Rebecca Shapley,Reynold Xin,Richard Fikes,Richard T. Snodgrass,Robert P. Goldman,Robin Dhamankar,Rod McChesney,Roger Magoulas,Ron Shaker,Ron van der Meyden,Ronald J. Brachman,S. Muthukrishnan,Sailesh Krishnamurthy,Samuel Madden,Sara Evensen,Saran Mumick,Sebastian Riedel,Serge Abiteboul,Sergey Melnik,Shani Robins,Sharad Mehrotra,Shaul Dar,Shawn R. Jeffery,Shiori Betzler,Shirley Cohen,Shubha U. Nabar,Shuwei Chen,Sihem Amer-Yahia,Sreeram Balakrishnan,Sriraam Natarajan,Stani Vlasseva,Stanley B. Zdonik,Stefan Edelkamp,Stefan Saroiu,Stefano Ceri,Steven D. Gribble,Steven Euijong Whang,Steven Whang,Stratos Idreos,Stuart J. Russell,Sudip Roy,Sunita Sarawagi,Surajit Chaudhuri,Susan B. Davidson,Susan Malaika,Susan McGregor,Thomas Kirk,Thomas Neumann,Tim Kraska,Tim O'Reilly,Timos K. Sellis,Todd D. Millstein,Todd Walter,Tova Milo,Umut Ozertem,Vadim Bulitko,Ves Stoyanov,Victor Vianu,Vignesh Ganapathy,Vishal Sikka,Vivi Nastase,Vivian Li,Volker Markl,W. Bruce Croft,Wai Tak Theodora Yeung,Wang-Chiew Tan,Warren Shen,William Pentney,William Tunstall-Pedoe,Wilson C. Hsieh,Xiao Ling,Xiao Yu,Xiaojuan Ma,Xiaolan Wang,Xin Dong,Xin Luna Dong,Xuezhi Wang,Y-Lan Boureau,Yana Kadiyska,Yang Zhang,Yannis E. Ioannidis,Yehoshua Sagiv,Yinzhan Xu,Yoonkyong Lee,Yoshihiko Suhara,Yuhan Cai,Yuliang Li,Yumi Iwasaki,Zachary G. Ives",5
Amit Awekar,india,iit g,"Abhinav Anshuman,Abhishek,Abhishek Abhishek,Akshay Parekh,Amar Prakash Azad,Anasua Mitra,Angana Borah,Ashish Anand,Balaji Ganesan,Garima Malik,Kavish Dahekar,Manash Pratim Barman,Panthadeep Bhattacharjee,Parag Agrawal,Sambhav Kothari,Sanya Bathla Taneja,Siddhesh Khandelwal,Sumeet Singh,Swarup Ranjan Behera,Sweta Agrawal,Vijaya Saradhi Vedula",4
Anirban Dasgupta,india,iit gandhinagar,"Abhimanyu Das,Achint Oommen Thomas,Alexander J. Smola,Amit Sasturkar,Andrew Tomkins,André Allavena,Anindya C. Patthak,Anirudh Ramachandran,Anish Das Sarma,Aris Anagnostopoulos,Arpita Ghosh,Bee-Chung Chen,Belle L. Tseng,Benjamin Moseley,Bireswar Das,Boulos Harb,Christopher Olston,D. Sivakumar,Dinesh Garg,Elliot Anshelevich,Flavio Chierichetti,Frank McSherry,Hamid Nazerzadeh,I. Vinod Reddy,Indrajit Bhattacharya,Ishita Doshi,Jane Manning,Jayesh Choudhari,Jie Yang,John E. Hopcroft,John Langford,Jon M. Kleinberg,Jonathan Huang,Josh Attenberg,Jure Leskovec,Justin M. Rao,Justin Thaler,Kevin J. Lang,Kilian Q. Weinberger,Kshiteej Sheth,Kunal Punera,Lee Rhodes,Liang Zhang,M. S. Ramanujan,Marc Sanders,Mark Sandler,Maxim Gurevich,Michael W. Mahoney,Murali Krishna Enduri,Neeldhara Misra,Nick Feamster,Nilesh N. Dalvi,P. P. Chakrabarti,Pallab Dasgupta,Petros Drineas,Prabhakar Raghavan,Pradipta Prometheus Mitra,Rachit Chhaya,Ravi Kannan,Ravi Kumar,Rijula Kar,Rushi Bhatt,Sandeep Pandey,Shahrzad Haddadan,Silvio Lattanzi,Soumen Chakrabarti,Sourangshu Bhattacharya,Sreekalyan Sajjalla,Srikanta Bedathur,Sujith Ravi,Supratim Shit,Susmija Reddy,Tamás Sarlós,Tim Roughgarden,Tom Wexler,Utkarsh Dwivedi,Vanja Josifovski,Vibhor Rastogi,Xuanhui Wang,Éva Tardos",4
Anja Gruenheid,united states,google inc.,"Adish Singla,Alessandra Loro,Andreas Krause,Besmira Nushi,Cong Yu,Damien Profeta,Divesh Srivastava,Donald Kossmann,Edward Omiecinski,Erfan Zamanian,Flip Korn,Hiro Naito,Jeffrey F. Naughton,Jiaming Shen,Jiawei Han,Jingbo Shang,Kruthi Nagaraj,Leo Mark,Paraschos Koutris,Philippe Beaudequin,Shaleen Deep,Stratis Viglas,Theodoros Rekatsinas,Tianhang Sun,Tim Kraska,Wolfgang Gatterbauer,Xin Luna Dong,Xingbang Liu,Ádám D. Lelkes",3
Anna Fariha,united states,microsoft,"Alexandra Meliou,Allan Vanterpool,Amit Mandal,Anshul Bhandari,Arjun Radhakrishna,Ashish Tiwari,Benjamin Price,Byeong-Soo Jeong,Carson K. Leung,Carson Kai-Sang Leung,Chowdhury Farhan Ahmed,Divesh Srivastava,El Kindi Rezig,Juliana Freire,Longbing Cao,Lucy Cousins,Maliha Tashfia Islam,Manziba Akanda Nishi,Matteo Brucato,Md. Abeed Hassan,Md. Rafiqul Islam,Md. Samiullah,Mehedi Hasan,Michael Stonebraker,Narges Mahyar,Nicolas Lachiche,Peter J. Haas,Quazi Marufur Rahman,Raoni Lourenço,S. M. Abdullah,Saifuddin Md. Tareeq,Sainyam Galhotra,Shafaet Ashraf,Shariful Islam,Sheikh Muhammad Sarwar,Suman Nath,Sumit Gulwani,Suraiya Pervin,Vijay Gadepally",2
Anthony K. H. Tung,singapore,nus,"Andrew Lim,Anirban Mondal,Anthony Kum Hoe Tung,Aoying Zhou,Baitong Wang,Bei Yu,Beibei Zhang,Belinda Foo,Beng Chin Ooi,Bin Cui,Bin Song,Bing Cui,Bing Tian Dai,Ce Zhang,Chang Sheng,Chao Wang,Chao Zhang,Chee Yong Chan,Chen Chen,Chen Li,Chen Liu,Chengqiao Lin,Chenyi Xia,Chenyun Dai,Chuitian Rong,Cuiping Li,Cynthia Sung,Dalie Sun,David Hsu,David Jiang,Dawei Jiang,Dimitris Papadias,Dinh Nguyen Tran,Divesh Srivastava,Divyakant Agrawal,Dongxiang Zhang,Fei Wang,Feng Cao,Feng Pan,Feng Zhao,Fenjin Ye,Gang Chen,Gao Cong,Gautam Das,Ge Yu,Guangyu Chen,Guihong Ma,Guo-Qiang Zhang,Guoliang Li,Guoren Wang,H. V. Jagadish,Hai Jin,Hank Korth,Hao Huang,Heng Tao Shen,Hongjun Lu,Hongyu Wang,Hua Lu,Hwee Tou Ng,HweeHwa Pang,Jacek Szymanski,Jaewoo Kang,James Wei Luen Yip,Jason W. H. Lee,Jean Hou,Jeong-Hyeon Choi,Jia Xu,Jian Pei,Jianhua Feng,Jianlin Feng,Jianyong Wang,Jianzhong Li,Jiawei Han,Jiayi Xu,Jiazhi Xia,Jingbo Zhang,Jingbo Zhou,Jingfeng Zhang,Jinyang Gao,Jiong Yang,Jisong Yang,Juncong Lin,Kaiping Zheng,Kang Liu,Karen R. Sollins,Kexin Liu,Kian-Lee Tan,Kuldeep Singh Rajput,Laks V. S. Lakshmanan,Lei Liu,Liang Jin,Lidan Shou,Lifu Wu,Lijun Ji,Ling Feng,Ling Zhu,Liping Ji,Lizhen Xu,Lizhu Zhou,Lubos Krcál,Lynette Shek,Marianne Winslett,Mario A. Nascimento,Martin Ester,Masaru Kitsuregawa,Meihui Zhang,Meiyu Lu,Mohammed Javeed Zaki,Mohan S. Kankanhalli,Mong-Li Lee,Mun Yee Tham,Nan Wang,Nick Koudas,Nikos Sarkas,Nilesh N. Dalvi,Panagiotis Karras,Panos Kalnis,Pei San Ang,Phung Chinh Huynh,Pingyi Luo,Prasan Roy,Qi Guo,Qi Liu,Qiang Hu,Qiang Huang,Qiang Jing,Qing Ye,Qingchao Cai,Qiong Fang,Qiushi Bai,Qiyue Song,Quang Hieu Vu,Quoc Trung Tran,Ramon Bespinyowong,Ran Jin,Rares Vernica,Raymond T. Ng,Reynold Cheng,Ross Maciejewski,Rui Yang,Rui Zhang,Ruichu Cai,Sai Wu,Sally Soh,Shan Wang,Shanshan Ying,Shaojing Fan,Sheng Wang,Shiyuan Wang,Shouling Ji,Shouxu Jiang,Shuai Cheng Li,Shuang Wu,Shubham Goyal,Siew Har Tan,Siyuan Liu,Sreemanee Raaj Dorajoo,Srinivasan Parthasarathy,Stéphane Bressan,Sun Kim,Suresh Venkatasubramanian,Thi Nguyen,Tok Wang Ling,Tongtong Wang,Ugur Çetintemel,Wee Siong Ng,Wei Chen,Wei Kang,Wei Lu,Wei Wang,Wei Wu,Wei Zeng,Weifeng Chen,Weilong Huang,Weining Qian,Wen Jin,Wen Zhang,Wenhao Luan,Wing-Kin Tam,Wynne Hsu,Xia Cao,Xiajuan Zhou,Xiang Gao,Xianke Zhou,Xiaofeng Ding,Xiaohong Ma,Xiaoli Wang,Xiaolong Zhang,Xiaoyong Du,Xin Xu,Xinxin Huang,Xinyu Guo,Xinyu Li,Xun Wang,Y. C. Tay,Yeow Meng Chee,Yifan Lei,Yihao Feng,Yin Yang,Ying Lu,Yixuan Tang,Yu Gu,Yuan Wang,Yuchen Li,Yueguo Chen,Yueji Yang,Yuelong Jiang,Yusi Wang,Yuting Gu,Yuxin Ma,Yuxin Zheng,Z. Meral Özsoyoglu,Zhan Su,Zhaojing Luo,Zhaoxian Li,Zhe Peng,Zhe Zhao,Zheng Jye Ling,Zhenguang Liu,Zhenjie Zhang,Zhenqiang Tan,Zhi Yang,Zhifeng Bao,Zhifeng Hao,Zhigeng Pan,Zhiping Zeng,Zhiqi Shen,Zhiyong Huang,Zhongle Xie,Zijian Tang",9
Anton Dignös,italy,free university of bozen-bolzano,"Andreas Behrend,Boris Glavic,Christian S. Jensen,Danila Piatov,Fabio Persia,Giovanni Mahlknecht,Guerriero Raimato,Hannes Mitterer,Hannes Voigt,Johann Gamper,Karsten Kahl,Kevin Wellenzohn,Lorenzo Maccioni,Matthias Rottmann,Maurizio Murgia,Michael H. Böhlen,Michael Shekelyan,Minos N. Garofalakis,Natalija Kozmina,Necati Duran,Paolo Coletti,Peter Moser,Philip Schmiegelt,Sven Helmer,Tong Liu,Vincenzo Del Fatto,Xing Niu,Yuri Borgianni",2
Antonios Deligiannakis,greece,technical university of crete,"Aggelos Bletsas,Alex Delis,Alexander Artikis,Alfonso Valencia,Alkis Simitsis,Amir Abboud,Anastasios Arvanitis,Andrew McGregor,Antonios Igglezakis,Antonios Kontaxakis,Antonis Kontaxakis,Aris Konidaris,Arnau Montagud,Assaf Schuster,Chara Xanthaki,Charalampos Papamanthou,Christos Papatheodorou,Claus-Peter Kettner,Costis J. Dallas,Daniel Keren,David Arnu,David Ben-David,Dimitrios Zissis,Dimitris Gavrilis,Dimitris Kladis,Dimitris Sacharidis,Dimitris Zissis,Edwin Yaqub,Ekaterini Ioannou,Eleni Kougioumtzi,Elias Alevizos,Elke Pelikan,Emmanouil Ntoulias,Euripides G. M. Petrakis,Fabian Temme,Fabiana Fournier,George Boukeas,George Paliouras,George Stamatakis,Gian Gaetano Tartaglia,Graham Cormode,Guy Sagy,Holger Arndt,Inna Skarbovsky,Ioannis Demertzis,Ioannis Flouris,Ioannis Maragkoudakis,Ion Androutsopoulos,Izchak Sharfman,Jonathan Yom-Tov,Kathleen Noack,Ke Yi,Konstantina Bereta,Marijo Volarevic,Marios Vodas,Marko Stajcer,Mate Torok,Michael Kamp,Michael Mock,Miguel Ponce de Leon,Mihaela A. Bornea,Minos N. Garofalakis,Nektarios Moumoutzis,Nick Roussopoulos,Nicolas Pallikarakis,Nikos Giatrakos,Nikos Katzouris,Nikos Pappas,Odysseas Papapetrou,Panos Constantopoulos,Raffaele Grasso,Ralf Klinkenberg,Sabbas Burdakis,Sebastian Bothe,Stavros Angelis,Stavros Christodoulakis,Stavros Papadopoulos,Stefan Burkard,Stelios Sotiriadis,Taji Curin,Theodoros Bitsakis,Timos K. Sellis,Tomislav Krizan,Vasiliki Manikaki,Vasilis Samoladas,Vasilis Vassalos,Vassilis Stoumpos,Vassilis Vassilakis,Vicky Dritsou,Yannis Kotidis,Yannis Sismanis,Yannis Theodoridis,Yannis Vassiliou",10
